,index,channel_subCount,channel_viewCount,title_on_youtube,up_time,log_view,y
3221,3221,0,820,christine keeler,1539,6.694562058521095,0
3222,3222,32887,31615071,she say she loves me [feat. 8 ball & bun b],1500,12.521204501690054,0
3223,3223,62508,46237923,"the james hunter six ""don't let pride take you for a ride"" (official audio)",318,9.057189192482008,0
3224,3224,2996509,1602167420,fetty wap - look at me [official audio],193,11.597689318169378,0
3225,3225,17615,10453063,intro,1500,11.251495763662513,0
3226,3226,347450,15282602,kelsea ballerini - unapologetically (official audio),447,12.594191506967531,0
3227,3227,88462,13959251,premiere: sascha funke - surumu (original mix) [you and your hippie friends],188,11.508666408049844,0
3228,3228,34578,23413405,buachaill on eirne,1316,6.411818267709897,0
3229,3229,22652,15414751,longer gone,709,9.978734161910666,0
3230,3230,27157,36017603,when you say noting at all (full vocal radio mix),187,1.0986122886681098,0
3231,3231,30389,34932337,i came here for you,194,8.123261319121745,0
3232,3232,97,24492,discrepancy,1367,5.869296913133774,0
3233,3233,1395,385041,hope she'll be happier,87,7.328437352895162,0
3234,3234,11041,4149284,please don't stop loving me,1030,8.607947554684701,0
3235,3235,40582,40617432,i love you so much,542,9.943429159629076,0
3236,3236,921,118357,no doubting you,291,9.048174321385792,0
3237,3237,656677,416961579,gawvi - moments of fear,59,10.11476093127985,0
3238,3238,4092,1401179,mug push,943,7.671826797878781,0
3239,3239,91970,20072240,the prophet - breaks - in the mix,1481,7.695757990554761,0
3240,3240,23329044,8454303171,one direction - where do broken hearts go (audio),1491,16.65347044288068,0
3241,3241,79080,27516686,a.r.d.i. & neev kennedy - crush the unseen (amsterdam trance),189,9.062652099076578,0
3242,3242,26307,6931626,loco & jam - moving forward,280,7.87777633327726,0
3243,3243,11870,8205174,nightwish - slaying the dreamer live at lowlands festival (2005) remastered,1535,8.994916943677111,0
3244,3244,76209,4785895,ledger: warrior (feat. john cooper) (official audio),248,13.99163713208341,0
3245,3245,385,57405,remember roses,556,7.8804263442924,0
3246,3246,20576,13356194,watching me (explicit),688,10.66296071826755,0
3247,3247,9523,4512066,david bowie - blackout - live 1978,736,10.807462758687635,0
3248,3248,10,10034,humano - life,1694,8.696008608880904,0
3249,3249,4,12761,killer (bonus track),1004,5.236441962829949,0
3250,3250,1770950,806505715,bastille - send them off (vevo presents),829,13.886434896300972,0
3251,3251,948,1104078,she'll be my everything for christmas,1497,7.903596289614301,0
3252,3252,7411,13938116,יצחק קלפטר - מחזיק מעמד,2853,9.973479924356162,0
3253,3253,7130224,2213731167,[hard dance] - stonebank - be alright (feat. emel) [monstercat release],990,14.324812421396919,0
3254,3254,46,7707,noni's field,1212,7.719129840906732,0
3255,3255,477,3308413,norah jones - lonestar,3988,14.508152110716022,0
3256,3256,1819164,758874576,bruno mars 'grenade' live billboard studio session at mophonics studios ny,2978,18.050582639720094,0
3257,3257,39638,30890663,adore (live from one nite alone tour 2002),137,8.86120833720818,0
3258,3258,17225,5791958,safi & fulltone - albeat (original mix),482,9.019664010799474,0
3259,3259,3995384,2186387910,youngboy never broke again - anomaly (official audio),101,14.440672216633109,0
3260,3260,6437,8615564,lindsey buckingham & christine mcvie - love is here to stay  june 23 2017 nashville,537,7.140453043101158,0
3261,3261,1131,160426,writing on the wall,709,4.465908118654584,0
3262,3262,32503,3669991,take a hint,1496,10.501169541278006,0
3263,3263,889,522399,natural to be gone,1395,5.634789603169249,0
3264,3264,659286,358416220,sara bareilles - bad idea (audio) ft. jason mraz,1091,13.049495866329769,0
3265,3265,446,202001,steppin' on a dream,690,5.43372200355424,0
3266,3266,116970,21433201,a tribe called red - we are the halluci nation ft. john trudell & northern voice (official video),888,12.357831896741489,0
3267,3267,5072,2156057,what you talkin',511,8.37309184744198,0
3268,3268,8188,7648735,the cranberries - desperate andy (live in paris 1999),2878,11.601970605792808,0
3269,3269,31,23770,"a star beneath my drum, pt. 2",90,6.668228248417403,0
3270,3270,7118,2840507,drink you away,487,7.195187320178709,0
3271,3271,35,188444,margot & the nuclear so & so's - love song for a schuba's bartender,3287,11.705782989679344,0
3272,3272,540,554286,jerry fish & the mudbug club - true friends,3938,11.669715515734417,0
3273,3273,435,417898,in they feelings,231,8.896451207355227,0
3274,3274,368,58365,shards ov light: part three (mixed),242,4.605170185988092,0
3275,3275,51351,48652307,sufjan stevens - lonely man of winter (official audio),38,11.739638637598702,0
3276,3276,4235,1499116,almost a year since,1499,7.948031990637284,0
3277,3277,139,61631,wait so long,290,4.219507705176107,0
3278,3278,7,661,give me my life,1573,2.4849066497880004,0
3279,3279,0,32,mojo back (original mix),1410,2.1972245773362196,0
3280,3280,3148643,795327337,armin van buuren feat. richard bedford - love never came (full version),1958,13.330560586558462,0
3281,3281,143,1046897,devuélveme la vida (terra live music / acústico),1381,4.248495242049359,0
3282,3282,125576,111252555,lost souls,666,12.03394297457105,0
3283,3283,39736,11556039,don't drink that wine (edit),645,8.742733867330168,0
3284,3284,15122641,2948623070,xxxtentacion - i don't wanna do this anymore (audio),572,14.876512702482946,0
3285,3285,0,3054803,question mark and the mysterians don't hold it against me action,1807,7.936660155225426,0
3286,3286,64513,26589307,a hard rain's a-gonna fall,458,10.031968714184668,0
3287,3287,3483,137927,hold on to me,1237,8.1797604936999,0
3288,3288,225,151809,down in the yards,1392,8.24301946898925,0
3289,3289,27168,27770359,tha track,1240,6.091309882077698,0
3290,3290,15017,11889844,sunday every saturday night,823,12.64218980919333,0
3291,3291,23705,37627305,tim hardin - don't make promises,3972,11.34547675699898,0
3292,3292,43,514925,your'e an angel,920,6.131226489483141,0
3293,3293,2,629,be my guest,1161,2.70805020110221,0
3294,3294,33215,10018481,c.r.e.a.m. (a cappella),691,4.532599493153256,0
3295,3295,2,8997,highland cathedral,1545,4.060443010546419,0
3296,3296,58932,5748730,oliver heldens - ibiza 77 (can you feel it) [rene amesz remix],512,9.047233034106032,0
3297,3297,4,3565,chu-daiko dreams,1153,5.135798437050262,0
3298,3298,0,47,airwaves to basswaves,1535,3.4339872044851463,0
3299,3299,19,17247,pressure,193,6.714170529909472,0
3300,3300,4283,11437173,coldplay - one i love (live 2003) hq,3478,9.714443449981347,0
3301,3301,9204575,844820692,post malone feat. ty dolla $ign - psycho (official audio),297,18.211626705148365,0
3302,3302,9012,7815410,tengo miedo,665,3.9889840465642745,0
3303,3303,1681,214380,xhampagne (ft. antwon),1411,9.223552703448318,0
3304,3304,2711,532031,lake people - catharctic [mm214],273,5.5134287461649825,0
3305,3305,260804,191762754,lakeside - i'll be standing by,2129,8.925454386826402,0
3306,3306,13486,12003514,katy perry - who am i living for?  (dvd live),1180,10.267088456545594,0
3307,3307,360697,468010989,jamiroquai - everyday (audio),950,12.520105710796933,0
3308,3308,209,54497,rest in piss,1015,5.8944028342648505,0
3309,3309,71835,2785144,one (your name) (vocal mix),676,8.954156966583772,0
3310,3310,140,25904,game boy music,1500,4.477336814478207,0
3311,3311,2,1332,gutshot and the jogger,1500,5.420534999272286,0
3312,3312,536,212923,ya tiene novio mi ex,89,4.787491742782046,0
3313,3313,2560,2776760,delinquent habits -  70s flow,631,10.438430013409498,0
3314,3314,27426,5914954,mario ochoa - freeze,1347,9.502562124469996,0
3315,3315,33856,14200209,chillax,161,11.663463914255463,0
3316,3316,5876,6372122,maría de todos los ángeles (live),677,7.831220214604293,0
3317,3317,132,56256,jumblies,1287,5.783825182329737,0
3318,3318,0,5998668,michael jackson - dangerous [immortal version],1709,14.086752224513473,0
3319,3319,1202,1678169,steven wilson - detonation,486,11.584855352533214,0
3320,3320,192,31897,olas y arenas,690,6.142037405587356,0
3321,3321,7414,20449288,nightwatchman [live],690,8.669914278433902,0
3322,3322,1327,695717,once in a while,1500,7.687997166393016,0
3323,3323,4263,3899369,we are,691,8.966228514225776,0
3324,3324,1077,332331,rogê - de olho nela,1683,7.7336835707759,0
3325,3325,2961,4612731,don omar ft. tego calderon - sandunga (the last don 2),1428,9.316320695513415,0
3326,3326,6713,950932,oh happy day,667,1.0986122886681098,0
3327,3327,41,17882,brand new man,1480,7.249215057114389,0
3328,3328,27168,27770359,when you leave,32,10.596784721847198,0
3329,3329,266,687191,9. falling down the mountain,2413,9.959867885972235,0
3330,3330,3179,219544,haliene - i was made for loving you (kiss remake),1145,8.323365694436081,0
3331,3331,2349138,2740871778,thalía - corazón valiente (audio),59,14.096090973236489,0
3332,3332,1050,2323031,"coldplay - strawberry swing [live at olympic stadium, paralympics closing ceremony]",2289,12.792174558701424,0
3333,3333,4596,4960168,the floacist- on it (new 2014),1735,10.417926639871954,0
3334,3334,81695,63337581,rodrigo y gabriela and c.u.b.a. - hanuman (feat. john tempesta on drums),1494,9.702350081484532,0
3335,3335,3412,2484739,11. donnie trumpet & the social experiment - go (clean),1297,7.364547014255642,0
3336,3336,5369,5250360,a little bit of love,112,8.756682421266532,0
3337,3337,121206,39513590,d-rashid - famous,1757,10.71931685969625,0
3338,3338,21958,1429685,jars of clay: inland track 08 i don't want you to forget,1609,9.648595302907339,0
3339,3339,1417,950259,"hold my life (live at maxwell's, hoboken, nj, 2/4/86)",438,8.366137716496281,0
3340,3340,1729,1216543,it must be summer,676,6.906754778648554,0
3341,3341,29056,51444871,college - critical mass,1664,9.909916840301031,0
3342,3342,175807,31202762,rico nasty - tacobella moves (official audio),577,9.810823867672708,0
3343,3343,32231,28371242,mejor me alejo,129,14.328482676361471,0
3344,3344,158902,189164228,"fey - popocatépetl (en vivo - 90's pop tour, vol. 2) ft. mdo, calo",241,12.716618230088846,0
3345,3345,43407,36097834,ah nuh mi,1144,4.418840607796598,0
3346,3346,11530539,7286870496,"michael giacchino - coco - día de los muertos suite (from ""coco""/audio only)",402,13.184317937989428,0
3347,3347,485,54304,diego francisco castillo galindo,779,6.338594078203183,0
3348,3348,226,135955,mama,1419,7.437206366871292,0
3349,3349,3611,1614920,king harvest (has surely come),1499,7.431299675155903,0
3350,3350,8130,6115280,break it up (2008 remastered version),1499,9.19806534110057,0
3351,3351,31859283,356135716,"katy perry - ""part of me (jacques lu cont's thin white duke remix)""",2463,13.19311443570795,0
3352,3352,5606,537740,staycation,291,10.091459780838896,0
3353,3353,1,43,love (live),263,1.3862943611198906,0
3354,3354,512,1961772,los de abajo - skapate / esto no es una elegia (vive latino 2011),2762,10.578012408967979,0
3355,3355,140,18886,a rose at night,686,5.267858159063328,0
3356,3356,1,1731,tarzan,1248,3.6109179126442243,0
3357,3357,166,20858,cuarto de colores,1246,5.552959584921617,0
3358,3358,28595,27157014,chiquilla,1528,5.831882477283517,0
3359,3359,73,19112,fair game,1213,4.867534450455582,0
3360,3360,8875,3319612,live for tomorrow (tocadisco remix),691,5.181783550292085,0
3361,3361,81,114912,bruno mars - show me live at radio 1 live lounge special,2171,10.86839700531273,0
3362,3362,44957,33917834,n.o.r.e. - no reason feat. sevyn streeter [hq audio],143,10.279695479577175,0
3363,3363,407,68576,mille après mille,884,7.371489295214277,0
3364,3364,90732,79495956,"punch brothers - ""new york city"" (live at wfuv)",2476,12.413367263390027,0
3365,3365,681,271844,thank you!,1022,9.542445945729886,0
3366,3366,809261,15353852,seether | nothing left,612,13.158620086850746,0
3367,3367,246400,146460712,conjunto rio grande-los laureles (2017),412,9.706620724300137,0
3368,3368,29230,28935719,gimme some lovin' (live at wembley '86),188,6.876264611890766,0
3369,3369,9028,3323532,king,269,9.54180006677385,0
3370,3370,50696,47395494,i know better,186,10.274775208842707,0
3371,3371,20761,12299009,"the music never stopped (live at the great american music hall, san francisco, ca 8/13/75)...",270,8.309676895987726,0
